Iphoto vs Time
Notes: 90 pol, 30 mW, 9.45 mW on sample, on junction
Filename and original path: C:\Documents and Settings\Pavlo\Desktop\Data\2016\May 4\iphoto\1_9_3.txt
T_K
t_sec	Y1	X1	Idc	V	X	Y	Polarization	IphotoX2	IphotoY2	
0.00000E+0	2.00000E-5	1.23314E-2	1.74000E-4	1.52278E-3	-1.66650E-6	1.30000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
5.00000E-1	2.00000E-5	1.23314E-2	1.78000E-4	1.52306E-3	-1.66300E-6	1.30000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
1.00000E+0	2.00000E-5	1.23314E-2	1.79000E-4	1.52405E-3	-1.62850E-6	4.00000E-9	9.00001E+1	-1.60000E-7	7.00000E-8
1.50000E+0	2.00000E-5	1.23314E-2	1.76000E-4	1.52299E-3	-1.62650E-6	2.70000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.00000E+0	2.00000E-5	1.23314E-2	1.76000E-4	1.52440E-3	-1.67400E-6	5.00000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.50000E+0	2.00000E-5	1.23314E-2	1.78000E-4	1.52208E-3	-1.63150E-6	2.60000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
3.00000E+0	2.00000E-5	1.23314E-2	1.72000E-4	1.52278E-3	-1.67050E-6	3.50000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.50000E+0	2.00000E-5	1.23314E-2	1.77000E-4	1.52215E-3	-1.65100E-6	4.20000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.00000E+0	2.00000E-5	1.23314E-2	1.85000E-4	1.52257E-3	-1.64450E-6	1.90000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
4.50000E+0	2.00000E-5	1.23314E-2	1.75000E-4	1.52433E-3	-1.66150E-6	5.30000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
5.00000E+0	2.00000E-5	1.23314E-2	1.79000E-4	1.52391E-3	-1.64600E-6	2.75000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.50000E+0	2.00000E-5	1.23314E-2	1.76000E-4	1.52440E-3	-1.63950E-6	3.00000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.00000E+0	2.00000E-5	1.23314E-2	1.86000E-4	1.52608E-3	-1.60850E-6	6.65000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.50000E+0	2.00000E-5	1.23314E-2	1.75000E-4	1.52461E-3	-1.60950E-6	2.55000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
7.00000E+0	2.00000E-5	1.23314E-2	1.80000E-4	1.52805E-3	-1.65750E-6	7.55000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
7.50000E+0	2.00000E-5	1.23314E-2	1.76000E-4	1.52700E-3	-1.63150E-6	3.45000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
8.00000E+0	2.00000E-5	1.23314E-2	1.75000E-4	1.52145E-3	-1.62650E-6	6.95000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
8.50000E+0	2.00000E-5	1.23314E-2	1.77000E-4	1.52159E-3	-1.62650E-6	4.15000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
9.00000E+0	2.00000E-5	1.23314E-2	1.69000E-4	1.50453E-3	-1.63450E-6	6.85000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
9.50000E+0	2.00000E-5	1.23314E-2	1.80000E-4	1.50312E-3	-1.60200E-6	6.45000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.00000E+1	2.00000E-5	1.23314E-2	1.74000E-4	1.50438E-3	-1.64250E-6	2.45000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
1.05000E+1	2.00000E-5	1.23314E-2	1.75000E-4	1.49526E-3	-1.61050E-6	6.95000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.10000E+1	2.00000E-5	1.23314E-2	1.80000E-4	1.48486E-3	-1.57000E-6	2.30000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.15000E+1	2.00000E-5	1.23314E-2	1.80000E-4	1.48543E-3	-1.61150E-6	2.80000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
1.20000E+1	2.00000E-5	1.23343E-2	1.74000E-4	1.47602E-3	-1.60700E-6	7.05000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.25000E+1	2.00000E-5	1.23314E-2	1.75000E-4	1.46864E-3	-1.61250E-6	2.85000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
1.30000E+1	2.00000E-5	1.23314E-2	1.80000E-4	1.46710E-3	-1.58600E-6	6.60000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
1.35000E+1	2.00000E-5	1.23314E-2	1.80000E-4	1.45214E-3	-1.56150E-6	5.20000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
1.40000E+1	2.00000E-5	1.23314E-2	1.74000E-4	1.43859E-3	-1.58550E-6	3.85000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.45000E+1	2.00000E-5	1.23343E-2	1.77000E-4	1.43880E-3	-1.56750E-6	4.40000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.50000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.42735E-3	-1.54000E-6	3.80000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
1.55000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.41640E-3	-1.56650E-6	3.70000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.60000E+1	2.00000E-5	1.23343E-2	1.81000E-4	1.41584E-3	-1.52600E-6	1.65000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.65000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.41310E-3	-1.58400E-6	6.25000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
1.70000E+1	2.00000E-5	1.23343E-2	1.75000E-4	1.40657E-3	-1.55950E-6	6.55000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
1.75000E+1	2.00000E-5	1.23343E-2	1.76000E-4	1.40706E-3	-1.52950E-6	2.50000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
1.80000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.40882E-3	-1.54200E-6	7.95000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
1.85000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.40137E-3	-1.48500E-6	3.05000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
1.90000E+1	2.00000E-5	1.23343E-2	1.75000E-4	1.40278E-3	-1.52200E-6	3.35000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
1.95000E+1	2.00000E-5	1.23343E-2	1.86000E-4	1.39316E-3	-1.56050E-6	5.70000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.00000E+1	2.00000E-5	1.23343E-2	1.80000E-4	1.38824E-3	-1.47950E-6	3.75000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
2.05000E+1	2.00000E-5	1.23371E-2	1.75000E-4	1.38908E-3	-1.55100E-6	2.85000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.10000E+1	2.00000E-5	1.23371E-2	1.75000E-4	1.39231E-3	-1.51650E-6	4.50000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
2.15000E+1	2.00000E-5	1.23371E-2	1.76000E-4	1.39695E-3	-1.50750E-6	2.95000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
2.20000E+1	2.00000E-5	1.23371E-2	1.75000E-4	1.39828E-3	-1.54550E-6	6.70000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.25000E+1	2.00000E-5	1.23343E-2	1.69000E-4	1.39997E-3	-1.52950E-6	6.65000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.30000E+1	2.00000E-5	1.23343E-2	1.79000E-4	1.40067E-3	-1.48350E-6	1.35000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
2.35000E+1	2.00000E-5	1.23343E-2	1.85000E-4	1.40004E-3	-1.52300E-6	5.35000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
2.40000E+1	2.00000E-5	1.23371E-2	1.75000E-4	1.39941E-3	-1.55550E-6	5.10000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
2.45000E+1	2.00000E-5	1.23371E-2	1.69000E-4	1.39337E-3	-1.53700E-6	6.00000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
2.50000E+1	2.00000E-5	1.23371E-2	1.78000E-4	1.39393E-3	-1.53650E-6	5.90000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
2.55000E+1	2.00000E-5	1.23371E-2	1.85000E-4	1.38908E-3	-1.53300E-6	2.65000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.60000E+1	2.00000E-5	1.23371E-2	1.76000E-4	1.38635E-3	-1.42850E-6	2.25000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.65000E+1	2.00000E-5	1.23371E-2	1.69000E-4	1.38635E-3	-1.50600E-6	4.90000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
2.70000E+1	2.00000E-5	1.23371E-2	1.78000E-4	1.38564E-3	-1.51600E-6	3.20000E-8	9.00001E+1	-1.50000E-7	8.00000E-8
2.75000E+1	2.00000E-5	1.23371E-2	1.84000E-4	1.37862E-3	-1.48700E-6	4.70000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.80000E+1	2.00000E-5	1.23371E-2	1.77000E-4	1.37834E-3	-1.53600E-6	6.90000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.85000E+1	2.00000E-5	1.23371E-2	1.81000E-4	1.36268E-3	-1.49550E-6	2.90000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
2.90000E+1	2.00000E-5	1.23371E-2	1.80000E-4	1.34583E-3	-1.51400E-6	6.25000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
2.95000E+1	2.00000E-5	1.23371E-2	1.81000E-4	1.34478E-3	-1.50400E-6	2.35000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
3.00000E+1	2.00000E-5	1.23371E-2	1.75000E-4	1.31957E-3	-1.42900E-6	5.10000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
3.05000E+1	2.00000E-5	1.23371E-2	1.83000E-4	1.29752E-3	-1.42500E-6	4.00000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.10000E+1	2.00000E-5	1.23400E-2	1.81000E-4	1.29661E-3	-1.42800E-6	5.45000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.15000E+1	2.28571E-5	1.23400E-2	1.71000E-4	1.27582E-3	-1.42500E-6	6.00000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
3.20000E+1	2.00000E-5	1.23400E-2	1.74000E-4	1.25511E-3	-1.41550E-6	4.45000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
3.25000E+1	2.00000E-5	1.23400E-2	1.84000E-4	1.25230E-3	-1.39400E-6	2.05000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
3.30000E+1	2.28571E-5	1.23400E-2	1.77000E-4	1.22983E-3	-1.36800E-6	5.30000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
3.35000E+1	2.28571E-5	1.23429E-2	1.70000E-4	1.21171E-3	-1.35450E-6	4.25000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
3.40000E+1	2.28571E-5	1.23429E-2	1.77000E-4	1.20932E-3	-1.35900E-6	6.50000E-9	9.00001E+1	-1.70000E-7	7.00000E-8
3.45000E+1	2.00000E-5	1.23429E-2	1.72000E-4	1.19324E-3	-1.30650E-6	4.60000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
3.50000E+1	2.00000E-5	1.23429E-2	1.76000E-4	1.17267E-3	-1.30950E-6	1.15000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.55000E+1	2.00000E-5	1.23429E-2	1.83000E-4	1.17007E-3	-1.29850E-6	3.55000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.60000E+1	2.00000E-5	1.23429E-2	1.77000E-4	1.14746E-3	-1.28450E-6	6.85000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
3.65000E+1	2.28571E-5	1.23457E-2	1.72000E-4	1.13306E-3	-1.28100E-6	4.25000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
3.70000E+1	2.00000E-5	1.23457E-2	1.76000E-4	1.13110E-3	-1.25600E-6	6.15000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
3.75000E+1	2.28571E-5	1.23457E-2	1.82000E-4	1.11558E-3	-1.28950E-6	4.30000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
3.80000E+1	2.28571E-5	1.23457E-2	1.78000E-4	1.09711E-3	-1.22800E-6	-5.50000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
3.85000E+1	2.28571E-5	1.23457E-2	1.73000E-4	1.09662E-3	-1.21800E-6	3.65000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
3.90000E+1	2.28571E-5	1.23457E-2	1.76000E-4	1.08089E-3	-1.21350E-6	2.00000E-9	9.00001E+1	-1.60000E-7	9.00000E-8
3.95000E+1	2.28571E-5	1.23486E-2	1.82000E-4	1.06846E-3	-1.17500E-6	6.15000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.00000E+1	2.28571E-5	1.23486E-2	1.73000E-4	1.06832E-3	-1.25050E-6	2.60000E-8	9.00001E+1	-1.50000E-7	8.00000E-8
4.05000E+1	2.28571E-5	1.23486E-2	1.74000E-4	1.03665E-3	-1.23450E-6	2.55000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
4.10000E+1	2.28571E-5	1.23486E-2	1.81000E-4	1.03918E-3	-1.16200E-6	2.55000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
4.15000E+1	2.28571E-5	1.23486E-2	1.83000E-4	1.03672E-3	-1.17400E-6	9.00000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
4.20000E+1	2.28571E-5	1.23486E-2	1.75000E-4	1.02675E-3	-1.17100E-6	6.20000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.25000E+1	2.28571E-5	1.23486E-2	1.85000E-4	1.01411E-3	-1.15600E-6	2.05000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.30000E+1	2.28571E-5	1.23486E-2	1.81000E-4	1.01650E-3	-1.20350E-6	5.10000E-8	9.00001E+1	-1.70000E-7	9.00000E-8
4.35000E+1	2.28571E-5	1.23514E-2	1.81000E-4	1.00238E-3	-1.14450E-6	-1.00000E-9	9.00001E+1	-1.70000E-7	8.00000E-8
4.40000E+1	2.28571E-5	1.23514E-2	1.82000E-4	9.91079E-4	-1.12400E-6	1.70000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
4.45000E+1	2.28571E-5	1.23514E-2	1.74000E-4	9.89183E-4	-1.15700E-6	5.55000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
4.50000E+1	2.28571E-5	1.23514E-2	1.82000E-4	9.88060E-4	-1.12350E-6	3.65000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.55000E+1	2.28571E-5	1.23514E-2	1.71000E-4	9.80195E-4	-1.13450E-6	1.80000E-8	9.00001E+1	-1.50000E-7	9.00000E-8
4.60000E+1	2.28571E-5	1.23514E-2	1.83000E-4	9.80546E-4	-1.11600E-6	3.10000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
4.65000E+1	2.28571E-5	1.23514E-2	1.78000E-4	9.70926E-4	-1.13150E-6	5.00000E-9	9.00001E+1	-1.60000E-7	9.00000E-8
4.70000E+1	2.28571E-5	1.23514E-2	1.80000E-4	9.59621E-4	-1.08750E-6	5.35000E-8	9.00001E+1	-1.70000E-7	9.00000E-8
4.75000E+1	2.28571E-5	1.23543E-2	1.78000E-4	9.58638E-4	-1.15400E-6	3.65000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
4.80000E+1	2.28571E-5	1.23543E-2	1.83000E-4	9.43541E-4	-1.08600E-6	3.65000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
4.85000E+1	2.28571E-5	1.23543E-2	1.77000E-4	9.44594E-4	-1.08800E-6	8.00000E-9	9.00001E+1	-1.70000E-7	8.00000E-8
4.90000E+1	2.28571E-5	1.23543E-2	1.81000E-4	9.44805E-4	-1.10500E-6	3.15000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
4.95000E+1	2.28571E-5	1.23514E-2	1.80000E-4	9.59621E-4	-1.17200E-6	1.85000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.00000E+1	2.28571E-5	1.23514E-2	1.78000E-4	9.43260E-4	-1.07350E-6	4.10000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
5.05000E+1	2.28571E-5	1.23543E-2	1.77000E-4	9.41926E-4	-1.08500E-6	3.00000E-9	9.00001E+1	-1.70000E-7	8.00000E-8
5.10000E+1	2.28571E-5	1.23543E-2	1.71000E-4	9.19104E-4	-1.04250E-6	4.40000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.15000E+1	2.28571E-5	1.23543E-2	1.78000E-4	8.99443E-4	-1.06650E-6	1.00000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
5.20000E+1	2.28571E-5	1.23543E-2	1.75000E-4	8.97547E-4	-1.04950E-6	2.90000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
5.25000E+1	2.28571E-5	1.23543E-2	1.75000E-4	8.78588E-4	-1.03500E-6	8.50000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
5.30000E+1	2.28571E-5	1.23543E-2	1.80000E-4	8.67072E-4	-1.00000E-6	3.05000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.35000E+1	2.28571E-5	1.23571E-2	1.80000E-4	8.64333E-4	-1.03600E-6	2.30000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
5.40000E+1	2.28571E-5	1.23571E-2	1.75000E-4	8.50921E-4	-9.73000E-7	2.00000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.45000E+1	2.28571E-5	1.23571E-2	1.76000E-4	8.34419E-4	-9.86000E-7	-4.00000E-9	9.00001E+1	-1.60000E-7	9.00000E-8
5.50000E+1	2.28571E-5	1.23571E-2	1.70000E-4	8.30979E-4	-9.44000E-7	3.30000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.55000E+1	2.28571E-5	1.23600E-2	1.79000E-4	8.21499E-4	-9.80500E-7	2.10000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.60000E+1	2.28571E-5	1.23600E-2	1.74000E-4	8.14688E-4	-9.54000E-7	-3.00000E-9	9.00001E+1	-1.60000E-7	7.00000E-8
5.65000E+1	2.28571E-5	1.23600E-2	1.76000E-4	8.12019E-4	-9.63000E-7	-3.50000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
5.70000E+1	2.28571E-5	1.23600E-2	1.71000E-4	8.04646E-4	-9.25000E-7	2.10000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.75000E+1	2.28571E-5	1.23600E-2	1.78000E-4	7.96501E-4	-9.52000E-7	3.95000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
5.80000E+1	2.28571E-5	1.23600E-2	1.78000E-4	7.92077E-4	-9.26500E-7	4.60000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
5.85000E+1	2.28571E-5	1.23600E-2	1.80000E-4	7.88145E-4	-9.51500E-7	4.05000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
5.90000E+1	2.28571E-5	1.23600E-2	1.80000E-4	7.82949E-4	-9.25500E-7	-1.00000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
5.95000E+1	2.28571E-5	1.23600E-2	1.76000E-4	7.79437E-4	-9.12000E-7	4.15000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
6.00000E+1	2.28571E-5	1.23600E-2	1.84000E-4	7.73609E-4	-9.39000E-7	3.00000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
6.05000E+1	2.28571E-5	1.23600E-2	1.78000E-4	7.67641E-4	-9.09500E-7	5.25000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.10000E+1	2.28571E-5	1.23600E-2	1.73000E-4	7.64130E-4	-9.15000E-7	2.50000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
6.15000E+1	2.28571E-5	1.23600E-2	1.77000E-4	7.57388E-4	-8.56500E-7	2.80000E-8	9.00001E+1	-1.60000E-7	9.00000E-8
6.20000E+1	2.28571E-5	1.23600E-2	1.83000E-4	7.52263E-4	-9.31500E-7	3.35000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.25000E+1	2.28571E-5	1.23600E-2	1.71000E-4	7.50015E-4	-9.05000E-7	-4.00000E-9	9.00001E+1	-1.70000E-7	7.00000E-8
6.30000E+1	2.28571E-5	1.23629E-2	1.74000E-4	7.45521E-4	-9.07000E-7	1.90000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
6.35000E+1	2.28571E-5	1.23629E-2	1.78000E-4	7.39904E-4	-8.61500E-7	1.00000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.40000E+1	2.28571E-5	1.23629E-2	1.77000E-4	7.36533E-4	-8.74500E-7	1.20000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
6.45000E+1	2.28571E-5	1.23629E-2	1.77000E-4	7.32531E-4	-8.56500E-7	9.50000E-9	9.00001E+1	-1.70000E-7	7.00000E-8
6.50000E+1	2.28571E-5	1.23629E-2	1.83000E-4	7.30846E-4	-8.86000E-7	2.05000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.55000E+1	2.28571E-5	1.23629E-2	1.84000E-4	7.27334E-4	-8.66500E-7	-0.00000E+0	9.00001E+1	-1.60000E-7	7.00000E-8
6.60000E+1	2.28571E-5	1.23629E-2	1.81000E-4	7.22981E-4	-8.36500E-7	-0.00000E+0	9.00001E+1	-1.60000E-7	7.00000E-8
6.65000E+1	2.28571E-5	1.23629E-2	1.71000E-4	7.19329E-4	-8.90500E-7	1.35000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
6.70000E+1	2.28571E-5	1.23629E-2	1.75000E-4	7.17083E-4	-8.57500E-7	-0.00000E+0	9.00001E+1	-1.60000E-7	8.00000E-8
6.75000E+1	2.28571E-5	1.23629E-2	1.84000E-4	7.13642E-4	-8.37500E-7	3.45000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
6.80000E+1	2.28571E-5	1.23629E-2	1.72000E-4	7.09780E-4	-8.62000E-7	2.95000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
6.85000E+1	2.28571E-5	1.23629E-2	1.84000E-4	7.08375E-4	-8.39500E-7	2.10000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.90000E+1	2.28571E-5	1.23629E-2	1.81000E-4	7.04092E-4	-8.54000E-7	2.85000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
6.95000E+1	2.28571E-5	1.23629E-2	1.77000E-4	7.00300E-4	-8.21500E-7	2.95000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
7.00000E+1	2.28571E-5	1.23629E-2	1.80000E-4	6.97983E-4	-8.58500E-7	2.00000E-9	9.00001E+1	-1.60000E-7	8.00000E-8
7.05000E+1	2.28571E-5	1.23629E-2	1.78000E-4	6.93559E-4	-7.95500E-7	1.45000E-8	9.00001E+1	-1.70000E-7	8.00000E-8
7.10000E+1	2.28571E-5	1.23629E-2	1.73000E-4	6.88363E-4	-8.52500E-7	3.30000E-8	9.00001E+1	-1.60000E-7	8.00000E-8
7.15000E+1	2.28571E-5	1.23629E-2	1.74000E-4	6.85765E-4	-8.14500E-7	1.75000E-8	9.00001E+1	-1.60000E-7	7.00000E-8
7.20000E+1	2.28571E-5	1.23657E-2	1.78000E-4	6.79726E-4	-8.43500E-7	3.55000E-8	9.00001E+1	-1.70000E-7	7.00000E-8
